Ticker,Open,High,Low,Close,Volume,Date
INFY,1.331542,1.351562,1.32832,1.351171,1331200,07-06-1996
INFY,1.39248,1.39248,1.371093,1.375097,819200,10-06-1996
INFY,1.367187,1.380859,1.35957,1.378515,1382400,11-06-1996
INFY,1.386718,1.404296,1.382812,1.386914,1638400,12-06-1996
INFY,1.376953,1.386523,1.367187,1.380761,460800,13-06-1996
INFY,1.384667,1.388671,1.378906,1.386718,819200,14-06-1996
INFY,1.40625,1.408203,1.386718,1.386718,1126400,17-06-1996
INFY,1.37207,1.40625,1.367187,1.381738,1331200,18-06-1996
INFY,1.386718,1.386718,1.386718,1.386718,102400,19-06-1996
INFY,1.367187,1.386718,1.367187,1.376953,307200,20-06-1996
INFY,1.378906,1.386718,1.376953,1.376953,1177600,21-06-1996
INFY,1.367187,1.367187,1.357421,1.362109,768000,24-06-1996
INFY,1.355664,1.361328,1.35371,1.360351,716800,25-06-1996
INFY,1.367089,1.388671,1.357421,1.385742,14745600,26-06-1996
INFY,1.365234,1.386718,1.364257,1.385156,819200,27-06-1996
INFY,1.384765,1.384765,1.374121,1.380859,460800,28-06-1996
INFY,1.386718,1.390625,1.378417,1.382812,563200,01-07-1996
INFY,1.376953,1.386718,1.376953,1.380273,972800,02-07-1996
INFY,1.36914,1.386523,1.362304,1.372656,1689600,03-07-1996
INFY,1.365234,1.376953,1.349121,1.367187,768000,04-07-1996
INFY,1.367187,1.367187,1.363281,1.363281,256000,05-07-1996
INFY,1.363281,1.367187,1.35498,1.35498,307200,08-07-1996
INFY,1.365234,1.365234,1.347656,1.357421,512000,09-07-1996
INFY,1.363281,1.386718,1.363281,1.386718,409600,10-07-1996
INFY,1.386718,1.396972,1.378906,1.379296,614400,11-07-1996
INFY,1.386523,1.392578,1.379199,1.38457,614400,12-07-1996
INFY,1.381835,1.381835,1.373046,1.373046,307200,15-07-1996
INFY,1.35957,1.35957,1.33789,1.350976,614400,16-07-1996
INFY,1.350976,1.350976,1.350976,1.350976,0,17-07-1996
INFY,1.357421,1.35791,1.347656,1.35791,563200,18-07-1996
INFY,1.367187,1.367187,1.350585,1.363769,665600,19-07-1996
INFY,1.376953,1.376953,1.367187,1.367187,256000,22-07-1996
INFY,1.367187,1.367187,1.349609,1.355371,716800,23-07-1996
INFY,1.33789,1.33789,1.285156,1.33789,1177600,24-07-1996
INFY,1.335937,1.367187,1.332031,1.357617,1331200,25-07-1996
INFY,1.363085,1.363281,1.332031,1.339843,921600,26-07-1996
INFY,1.345703,1.347656,1.331054,1.331054,358400,29-07-1996
INFY,1.328125,1.328125,1.242187,1.249023,1126400,30-07-1996
INFY,1.254003,1.289062,1.254003,1.289062,870400,31-07-1996
INFY,1.308593,1.367187,1.308593,1.367089,1331200,01-08-1996
INFY,1.375,1.375,1.347656,1.347656,256000,02-08-1996
INFY,1.347656,1.347656,1.335937,1.337792,409600,05-08-1996
INFY,1.328125,1.355468,1.328125,1.343554,870400,06-08-1996
INFY,1.318359,1.328125,1.318359,1.324121,204800,07-08-1996
INFY,1.337695,1.347656,1.336914,1.345703,307200,08-08-1996
INFY,1.33789,1.33789,1.328125,1.330468,614400,09-08-1996
INFY,1.322363,1.328125,1.310546,1.311914,614400,12-08-1996
INFY,1.302734,1.308593,1.301757,1.301757,204800,13-08-1996
INFY,1.308593,1.310546,1.308593,1.310546,153600,14-08-1996
INFY,1.310546,1.310546,1.310546,1.310546,0,15-08-1996
INFY,1.279492,1.279492,1.234375,1.265625,512000,16-08-1996
INFY,1.24414,1.263671,1.242187,1.243164,614400,19-08-1996
INFY,1.242187,1.25,1.242187,1.242187,665600,20-08-1996
INFY,1.242187,1.259765,1.242089,1.257128,1280000,21-08-1996
INFY,1.267578,1.269531,1.257812,1.257812,512000,22-08-1996
INFY,1.276367,1.28496,1.273437,1.284179,921600,23-08-1996
INFY,1.308593,1.308593,1.27539,1.279492,563200,26-08-1996
INFY,1.261718,1.289062,1.261718,1.283984,1382400,27-08-1996
INFY,1.289062,1.304687,1.279296,1.279296,819200,28-08-1996
INFY,1.289062,1.3125,1.289062,1.29707,460800,29-08-1996
INFY,1.318359,1.318359,1.308593,1.308593,153600,30-08-1996
INFY,1.330175,1.330175,1.307617,1.308105,716800,02-09-1996
INFY,1.304687,1.304785,1.295117,1.295117,870400,03-09-1996
INFY,1.302734,1.309277,1.302734,1.309277,307200,04-09-1996
INFY,1.316406,1.316406,1.310546,1.316406,358400,05-09-1996
INFY,1.3125,1.367187,1.308593,1.347656,4864000,06-09-1996
INFY,1.332031,1.33789,1.3125,1.3125,3993600,09-09-1996
INFY,1.300781,1.308593,1.300781,1.306054,153600,10-09-1996
INFY,1.291015,1.300781,1.291015,1.294921,153600,11-09-1996
INFY,1.296484,1.296679,1.296484,1.296679,153600,12-09-1996
INFY,1.282226,1.294921,1.282226,1.289257,256000,13-09-1996
INFY,1.285156,1.289062,1.285156,1.289062,256000,16-09-1996
INFY,1.308398,1.308398,1.279296,1.288769,409600,17-09-1996
INFY,1.296875,1.308593,1.296875,1.296875,256000,18-09-1996
INFY,1.296875,1.308593,1.296875,1.308593,256000,19-09-1996
INFY,1.308593,1.3125,1.308593,1.309082,1024000,20-09-1996
INFY,1.289062,1.328125,1.289062,1.319335,3020800,23-09-1996
INFY,1.299023,1.310449,1.298828,1.308593,307200,24-09-1996
INFY,1.308593,1.31621,1.308593,1.312792,307200,25-09-1996
INFY,1.304687,1.304687,1.299023,1.299023,102400,26-09-1996
INFY,1.279296,1.296875,1.279296,1.296875,563200,27-09-1996
INFY,1.285156,1.293945,1.279296,1.288085,2560000,30-09-1996
INFY,1.279296,1.28125,1.259765,1.259765,1075200,01-10-1996
INFY,1.259765,1.259765,1.259765,1.259765,0,02-10-1996
INFY,1.240234,1.269042,1.237304,1.269042,1740800,03-10-1996
INFY,1.242187,1.259667,1.24121,1.254882,2150400,04-10-1996
INFY,1.249023,1.249023,1.216796,1.224707,1382400,07-10-1996
INFY,1.21289,1.242187,1.209472,1.234375,1587200,08-10-1996
INFY,1.226562,1.269531,1.226562,1.267968,1484800,09-10-1996
INFY,1.33789,1.355468,1.308593,1.328808,2611200,10-10-1996
INFY,1.347656,1.347656,1.328613,1.336035,3225600,11-10-1996
INFY,1.328125,1.328125,1.308593,1.310546,460800,14-10-1996
INFY,1.313867,1.317382,1.283203,1.292675,1843200,15-10-1996
INFY,1.304687,1.308593,1.298828,1.305957,716800,16-10-1996
INFY,1.308593,1.308593,1.298828,1.304589,768000,17-10-1996
INFY,1.308593,1.308593,1.30371,1.305175,256000,18-10-1996
INFY,1.305175,1.305175,1.305175,1.305175,0,21-10-1996
INFY,1.343554,1.357421,1.342773,1.349609,1280000,22-10-1996
INFY,1.376953,1.386718,1.357421,1.365234,819200,23-10-1996
INFY,1.40625,1.40625,1.347949,1.348339,409600,24-10-1996
INFY,1.328125,1.345703,1.328125,1.345605,307200,25-10-1996
INFY,1.347656,1.347656,1.328222,1.342382,665600,28-10-1996
INFY,1.281835,1.349609,1.281835,1.345019,921600,29-10-1996
INFY,1.345019,1.345019,1.345019,1.345019,0,30-10-1996
INFY,1.332031,1.335937,1.300781,1.327929,460800,31-10-1996
INFY,1.327929,1.33789,1.327929,1.33789,409600,01-11-1996
INFY,1.308789,1.328125,1.308789,1.328125,153600,04-11-1996
INFY,1.311621,1.332031,1.311621,1.328125,460800,05-11-1996
INFY,1.318164,1.328125,1.318164,1.328125,409600,06-11-1996
INFY,1.33789,1.347363,1.33789,1.347363,460800,07-11-1996
INFY,1.365136,1.365136,1.355566,1.355566,153600,08-11-1996
INFY,1.349609,1.349609,1.338574,1.338574,358400,11-11-1996
INFY,1.338574,1.338574,1.338574,1.338574,0,12-11-1996
INFY,1.343847,1.357421,1.343847,1.357421,358400,13-11-1996
INFY,1.357421,1.371093,1.357421,1.363574,409600,14-11-1996
INFY,1.367187,1.367187,1.367187,1.367187,102400,15-11-1996
INFY,1.365234,1.366699,1.357714,1.361035,307200,18-11-1996
INFY,1.357519,1.378906,1.357519,1.369531,1126400,19-11-1996
INFY,1.363378,1.371093,1.363378,1.371093,153600,20-11-1996
INFY,1.36914,1.36914,1.365234,1.365234,153600,21-11-1996
INFY,1.365234,1.367187,1.365234,1.36621,307200,22-11-1996
INFY,1.347656,1.355468,1.347656,1.355468,102400,25-11-1996
INFY,1.351562,1.355468,1.35,1.35,256000,26-11-1996
INFY,1.343554,1.349609,1.343554,1.348632,460800,27-11-1996
INFY,1.347656,1.357421,1.347656,1.35498,512000,28-11-1996
INFY,1.338378,1.357421,1.338378,1.357421,153600,29-11-1996
INFY,1.347656,1.357421,1.341601,1.356738,921600,02-12-1996
INFY,1.367187,1.367187,1.339843,1.339843,716800,03-12-1996
INFY,1.318359,1.328125,1.318359,1.327929,1075200,04-12-1996
INFY,1.289062,1.324218,1.289062,1.324023,1126400,05-12-1996
INFY,1.324414,1.347656,1.324218,1.347656,716800,06-12-1996
INFY,1.347656,1.347656,1.347656,1.347656,153600,09-12-1996
INFY,1.332031,1.345117,1.332031,1.342675,256000,10-12-1996
INFY,1.367187,1.376953,1.365234,1.375976,307200,11-12-1996
INFY,1.371093,1.376953,1.371093,1.376953,768000,12-12-1996
INFY,1.367187,1.376953,1.367187,1.376953,409600,13-12-1996
INFY,1.376953,1.386523,1.376953,1.383984,409600,16-12-1996
INFY,1.390625,1.402343,1.386816,1.399804,768000,17-12-1996
INFY,1.453125,1.453125,1.425781,1.435546,512000,18-12-1996
INFY,1.455078,1.464843,1.437695,1.464843,665600,19-12-1996
INFY,1.472656,1.490234,1.464843,1.490234,1177600,20-12-1996
INFY,1.49414,1.5,1.486328,1.49414,1843200,23-12-1996
INFY,1.476562,1.503906,1.476562,1.484375,1382400,24-12-1996
INFY,1.484375,1.484375,1.484375,1.484375,0,25-12-1996
INFY,1.511718,1.513671,1.511718,1.513671,153600,26-12-1996
INFY,1.513671,1.513671,1.513671,1.513671,0,27-12-1996
INFY,1.513671,1.513671,1.513671,1.513671,0,30-12-1996
INFY,1.523437,1.523437,1.503906,1.503906,972800,31-12-1996
INFY,1.542968,1.582031,1.542968,1.543164,665600,01-01-1997
INFY,1.562304,1.570312,1.544921,1.557421,921600,02-01-1997
INFY,1.545019,1.560546,1.545019,1.554687,768000,03-01-1997
INFY,1.580078,1.580078,1.5625,1.5625,921600,06-01-1997
INFY,1.543066,1.568359,1.543066,1.56582,819200,07-01-1997
INFY,1.582031,1.582031,1.562597,1.565625,870400,08-01-1997
INFY,1.5625,1.581054,1.5625,1.580957,972800,09-01-1997
INFY,1.600585,1.621093,1.591796,1.603613,2150400,10-01-1997
INFY,1.620898,1.626757,1.615429,1.626757,614400,13-01-1997
INFY,1.630859,1.630859,1.615332,1.628613,921600,14-01-1997
INFY,1.676757,1.699218,1.675781,1.699023,2918400,15-01-1997
INFY,1.728515,1.728515,1.584375,1.584375,716800,16-01-1997
INFY,1.591796,1.621093,1.591796,1.621093,2713600,17-01-1997
INFY,1.632714,1.644531,1.613281,1.613281,614400,20-01-1997
INFY,1.582128,1.609375,1.572265,1.577539,2867200,21-01-1997
INFY,1.603515,1.633789,1.59375,1.633789,409600,22-01-1997
INFY,1.633789,1.633789,1.633789,1.633789,0,23-01-1997
INFY,1.613476,1.613476,1.595703,1.598144,2252800,24-01-1997
INFY,1.671679,1.699218,1.660156,1.660156,921600,27-01-1997
INFY,1.636718,1.636718,1.615332,1.624609,921600,28-01-1997
INFY,1.634765,1.634765,1.634765,1.634765,358400,29-01-1997
INFY,1.617187,1.627929,1.613769,1.61748,512000,30-01-1997
INFY,1.615234,1.630859,1.615234,1.628906,768000,31-01-1997
INFY,1.615234,1.640625,1.615234,1.631054,614400,03-02-1997
INFY,1.630859,1.683593,1.630859,1.63623,2508800,04-02-1997
INFY,1.697265,1.69873,1.669921,1.669921,665600,05-02-1997
INFY,1.65039,1.675781,1.65039,1.669921,307200,06-02-1997
INFY,1.683593,1.689453,1.683593,1.683593,204800,07-02-1997
INFY,1.699218,1.699218,1.689453,1.691406,256000,10-02-1997
INFY,1.699218,1.738281,1.697265,1.738183,1075200,11-02-1997
INFY,1.767578,1.767578,1.730957,1.757812,256000,12-02-1997
INFY,1.756054,1.763671,1.751953,1.762402,2201600,13-02-1997
INFY,1.853417,1.853417,1.748046,1.74873,1075200,14-02-1997
INFY,1.787109,1.787109,1.748046,1.759667,870400,17-02-1997
INFY,1.755859,1.76748,1.748046,1.754785,1382400,18-02-1997
INFY,1.682617,1.777343,1.682617,1.777343,972800,19-02-1997
INFY,1.773437,1.78125,1.767578,1.777441,614400,20-02-1997
INFY,1.767675,1.798828,1.767675,1.798828,3993600,21-02-1997
INFY,1.771484,1.777343,1.767773,1.768652,307200,24-02-1997
INFY,1.777343,1.80664,1.769726,1.789355,1382400,25-02-1997
INFY,1.796875,1.84375,1.796875,1.840527,2457600,26-02-1997
INFY,1.83623,1.874023,1.835937,1.874023,2048000,27-02-1997
INFY,1.972656,2.009765,1.972656,2.003906,1024000,28-02-1997
INFY,2.263671,2.294335,2.1875,2.294238,1894400,03-03-1997
INFY,2.294726,2.294921,2.177734,2.219824,3276800,04-03-1997
INFY,2.34375,2.34375,2.207128,2.237304,4249600,05-03-1997
INFY,2.296386,2.304687,2.083984,2.132031,3993600,06-03-1997
INFY,2.132031,2.132031,2.132031,2.132031,0,07-03-1997
INFY,1.992187,2.072265,1.992187,1.992285,3430400,10-03-1997
INFY,2.050781,2.050781,1.916015,1.960644,3174400,11-03-1997
INFY,2.03125,2.050781,1.985351,2.024218,3379200,12-03-1997
INFY,2.029296,2.070312,2.027343,2.041015,5222400,13-03-1997
INFY,2.041015,2.069335,2.035156,2.036132,3430400,14-03-1997
INFY,1.939453,2.058593,1.939453,2.03125,1638400,17-03-1997
INFY,2.035253,2.041015,1.972656,1.998828,10496000,18-03-1997
INFY,2.027343,2.03125,1.998046,2.001562,972800,19-03-1997
INFY,1.88496,2.009765,1.88496,2.001953,2560000,20-03-1997
INFY,1.998046,2.001953,1.972753,1.998046,8550400,21-03-1997
INFY,1.998046,1.998046,1.998046,1.998046,0,24-03-1997
INFY,2.001953,2.080078,1.989355,2.051855,2304000,25-03-1997
INFY,2.021679,2.072265,2.021679,2.072265,1126400,26-03-1997
INFY,2.115136,2.148437,2.091796,2.147558,2816000,27-03-1997
INFY,2.147558,2.147558,2.147558,2.147558,0,28-03-1997
INFY,1.997265,1.997265,1.997265,1.997265,51200,31-03-1997
INFY,1.855566,2.021386,1.855468,1.971875,2969600,01-04-1997
INFY,2.050781,2.103515,2.050781,2.098437,2150400,02-04-1997
INFY,2.109375,2.232421,2.109375,2.2083,2355200,03-04-1997
INFY,2.36289,2.36289,2.261718,2.36289,8448000,04-04-1997
INFY,2.364257,2.364257,2.364257,2.364257,870400,07-04-1997
INFY,2.364257,2.364257,2.364257,2.364257,0,08-04-1997
INFY,2.529687,2.529687,2.463867,2.479589,12697600,09-04-1997
INFY,2.472656,2.480468,2.306152,2.335253,15155200,10-04-1997
INFY,2.242382,2.333984,2.234375,2.324023,9523200,11-04-1997
INFY,2.324023,2.324023,2.324023,2.324023,0,14-04-1997
INFY,2.353515,2.392578,2.34375,2.37998,5632000,15-04-1997
INFY,2.37998,2.37998,2.37998,2.37998,0,16-04-1997
INFY,2.39375,2.421875,2.383789,2.41914,2969600,17-04-1997
INFY,2.41914,2.41914,2.41914,2.41914,0,18-04-1997
INFY,2.451171,2.49707,2.451171,2.491992,3225600,21-04-1997
INFY,2.5,2.548828,2.5,2.53916,8345600,22-04-1997
INFY,2.527343,2.529296,2.511718,2.529003,2560000,23-04-1997
INFY,2.544531,2.544531,2.521679,2.535156,1996800,24-04-1997
INFY,2.521679,2.58789,2.521679,2.583203,3174400,25-04-1997
INFY,2.59375,2.764062,2.568359,2.763671,11161600,28-04-1997
INFY,2.792968,2.910156,2.626953,2.750097,8960000,29-04-1997
INFY,2.8125,2.925781,2.8125,2.835156,16896000,30-04-1997
INFY,2.835156,2.835156,2.835156,2.835156,0,01-05-1997
